Before1978,ID,Time,HazardDescrip
Yes,1,Before Mulching,Hazard
Yes,2,Before Mulching,Hazard
Yes,3,Before Mulching,Hazard
Yes,4,Before Mulching,Hazard
Yes,5,Before Mulching,Hazard
Yes,6,Before Mulching,No intervention required
No,7,Before Mulching,No intervention required
No,8,Before Mulching,No intervention required
Yes,9,Before Mulching,Hazard
Yes,10,Before Mulching,Hazard
Yes,11,Before Mulching,No intervention required
Yes,12,Before Mulching,Hazard
Yes,13,Before Mulching,Hazard
Yes,14,Before Mulching,Hazard
Yes,15,Before Mulching,Hazard
Yes,16,Before Mulching,Hazard
Yes,17,Before Mulching,Hazard
Yes,18,Before Mulching,Hazard
Yes,19,Before Mulching,Hazard
Yes,20,Before Mulching,No intervention required
Yes,21,Before Mulching,Hazard
Yes,22,Before Mulching,Hazard
Yes,23,Before Mulching,Hazard
Yes,24,Before Mulching,Hazard
Yes,25,Before Mulching,Hazard
Yes,26,Before Mulching,Hazard
Yes,27,Before Mulching,Hazard
Yes,1,After Mulching,No intervention required
Yes,2,After Mulching,No intervention required
Yes,3,After Mulching,No intervention required
Yes,4,After Mulching,No intervention required
Yes,5,After Mulching,No intervention required
Yes,6,After Mulching,Hazard
No,7,After Mulching,No intervention required
No,8,After Mulching,No intervention required
Yes,9,After Mulching,No intervention required
Yes,10,After Mulching,Hazard
Yes,11,After Mulching,No intervention required
Yes,12,After Mulching,No intervention required
Yes,13,After Mulching,No intervention required
Yes,14,After Mulching,No intervention required
Yes,15,After Mulching,No intervention required
Yes,16,After Mulching,No intervention required
Yes,17,After Mulching,No intervention required
Yes,18,After Mulching,Hazard
Yes,19,After Mulching,No intervention required
Yes,20,After Mulching,Hazard
Yes,21,After Mulching,Hazard
Yes,22,After Mulching,No intervention required
Yes,23,After Mulching,No intervention required
Yes,24,After Mulching,No intervention required
Yes,25,After Mulching,No intervention required
Yes,26,After Mulching,No intervention required
Yes,27,After Mulching,Hazard
