Group,LeadConc
Pilot,931.2
Pilot,818.9
Pilot,1596.6
Pilot,1461.2
Pilot,2449
Pilot,1301.1
Pilot,843.7
Pilot,1196.8
Pilot,1798
Pilot,1115.7
Pilot,2522.7
Pilot,5999.3
Pilot,4009.1
Pilot,3474.9
Pilot,4807.2
Pilot,979
Pilot,226
Pilot,337.5
Pilot,0
Pilot,963.9
Pilot,2446
Pilot,6325.7
Pilot,7947.8
Pilot,22741
Pilot,11755.7
Pilot,14464
Pilot,3583
Pilot,5375.6
Pilot,5894.8
Pilot,5591.3
Pilot,207.9
Pilot,220
Pilot,173.6
Pilot,210.3
Pilot,254
Pilot,347
Pilot,1193.8
Pilot,1378.1
Pilot,1314.6
Pilot,1245.5
Neighborhood,9732
Neighborhood,201
Neighborhood,430.9
Neighborhood,305.3
Neighborhood,2689
Neighborhood,299.5
Neighborhood,1138
Neighborhood,6985
Neighborhood,1613
Neighborhood,13611
Neighborhood,4981
Neighborhood,462
Neighborhood,950
Neighborhood,711
Neighborhood,34
Neighborhood,1264
Neighborhood,1102
Neighborhood,1256
Neighborhood,480
Neighborhood,62
Neighborhood,1487.2
Neighborhood,156
Neighborhood,407.4
Neighborhood,505
Neighborhood,20
Neighborhood,698
Neighborhood,3740
Neighborhood,273.3
Neighborhood,1116
Neighborhood,698
Neighborhood,9585.2
Neighborhood,2231
Neighborhood,6310
Neighborhood,139.6
Neighborhood,283.6
Neighborhood,185.5
Neighborhood,754
Neighborhood,281.6
Neighborhood,1010
Neighborhood,3599
Neighborhood,792
Neighborhood,1304
Neighborhood,2025
Neighborhood,399
Neighborhood,730
Neighborhood,478
Neighborhood,16
Neighborhood,498
Neighborhood,202
Neighborhood,900
Neighborhood,436
Neighborhood,17
Neighborhood,143.5
Neighborhood,147
Neighborhood,117.2
Neighborhood,420
Neighborhood,16
Neighborhood,497
Neighborhood,2252
Neighborhood,205.7
Neighborhood,16
Neighborhood,419
Neighborhood,667.5
Neighborhood,920
Neighborhood,5357
Neighborhood,92.5
Neighborhood,186.8
Neighborhood,52.1
Neighborhood,673
Neighborhood,120.9
Neighborhood,467
Neighborhood,2878
Neighborhood,323
Neighborhood,312
Neighborhood,723
Neighborhood,122
Neighborhood,21
Neighborhood,434
Neighborhood,12
Neighborhood,389
Neighborhood,194
Neighborhood,566
Neighborhood,82
Neighborhood,12
Neighborhood,125.4
Neighborhood,126
Neighborhood,43.5
Neighborhood,121
Neighborhood,0
Neighborhood,148
Neighborhood,2235
Neighborhood,198.1
Neighborhood,12
Neighborhood,232
Neighborhood,6.8
Neighborhood,1877
Neighborhood,1236
Neighborhood,829
Neighborhood,1352
Neighborhood,522
Neighborhood,377
