Location,LeadConc
A,931.2
A,818.9
A,1596.6
A,1461.2
A,2449.0
A,1301.1
A,843.7
A,1196.8
A,1798.0
A,1115.7
B,2522.7
B,5999.3
B,4009.1
B,3474.9
B,4807.2
B,979.0
B,226.0
B,337.5
B,0.0
B,963.9
C,2446.0
C,6325.7
C,7947.8
C,22741.0
C,11755.7
C,14464.0
C,3583.0
C,5375.6
C,5894.8
C,5591.3
D,207.9
D,220.0
D,173.6
D,210.3
D,254.0
D,347.0
D,1193.8
D,1378.1
D,1314.6
D,1245.5
Organization,1943.7
Organization,1856.6
Organization,1757.3
Organization,4658.9
Organization,1726.1
Organization,1304.6
Organization,760.3
Organization,3107.9
Organization,1317.2
Organization,3183.7
Organization,2424.9
Organization,5493.9
Organization,2679.0
Organization,3467.0
Organization,3212.0
Organization,3027.1
Organization,1684.6
Organization,3913.3
Organization,1683.9
Organization,5515.5
Organization,4807.7
Organization,774.1
Organization,656.1
Organization,2822.2
Organization,2703.5
Organization,1904.6
Organization,2240.3
Organization,5796.8
Organization,2806.3
Organization,3512.4
Organization,4018.5
Organization,3792.5
Organization,1722.3
Organization,1282.9
Organization,3316.6
Organization,1945.9
Organization,1618.2
Organization,1000.3
Organization,1547.2
Organization,3630.5
Organization,4257.9
Organization,11689.6
Organization,1996.5
Organization,2664.9
Organization,2771.0
Organization,5496.5
Organization,1964.7
Organization,1056.8
Organization,2533.7
Organization,2257.1
Organization,3155.9
Organization,1534.4
Organization,1489.1
Organization,2246.8
Organization,915.5
Organization,1251.2
Organization,1314.3
Organization,1520.6
Organization,1375.0
Organization,1343.7
Organization,2900.3
Organization,1079.8
Organization,1014.7
Organization,4404.6
Organization,2961.0
Organization,1312.5
Organization,2259.3
Organization,778.0
Organization,2325.5
Organization,1218.0
Organization,5826.9
Organization,1258.4
Organization,1639.3
Organization,1348.1
Organization,1232.4
Organization,1716.7
Organization,1462.9
Organization,1643.1
Organization,2215.1
Organization,2111.1
Organization,428.7
Organization,695.2
Organization,1081.0
Organization,1010.4
Organization,1658.2
Organization,2279.9
Organization,2280.4
Organization,617.6
Organization,3608.3
Organization,2188.5
Organization,1335.2
Organization,1423.1
Organization,933.5
Organization,1525.0
Organization,1932.0
Organization,1462.2
Organization,1761.2
Organization,1226.5
Organization,1544.5
Organization,813.5
